dyad_season_year,dyad_ID,PackID,species,SA,season,season2,den,rend,winter,Cohesion,BreedPair,sex_combo.1,FF,MM,FM,Same,LargePred,Exploit,largeprey,SE,NE,West,Human,PCV,Long,Lat
SC10F_SC13M_rend_2016,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,rend,nw,0,1,0,0.360119048,0,female_male,0,0,1,0,0,1,0,1,0,0,0.066439873,2.471736648,-82.16699706,33.96235034
SC10F_SC13M_winter_2014_2015,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,winter,winter,0,0,1,0.419230769,0,female_male,0,0,1,0,0,1,0,1,0,0,0.06564281,2.650512206,-82.16547267,33.97023539
SC10F_SC13M_winter_2015_2016,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,winter,winter,0,0,1,0.598792062,0,female_male,0,0,1,0,0,1,0,1,0,0,0.06314993,2.481737028,-82.16469395,33.96268312
SC15F_SC21F_rend_2015,SC15F_SC21F,Zion Chapel,coyote,SouthCarolina_McCormick,rend,nw,0,1,0,0.06505295,0,female_female,1,0,0,1,0,1,0,1,0,0,0.302841793,2.56638257,-82.20875978,33.92853287
SC27M_SC31F_den_2016,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,den,nw,1,0,0,0.34375,1,female_male,0,0,1,0,0,1,0,1,0,0,0.335459784,2.463886306,-81.71506582,33.76229633
SC27M_SC31F_rend_2016,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,rend,nw,0,1,0,0.300653595,1,female_male,0,0,1,0,0,1,0,1,0,0,0.330578529,2.384709674,-81.71735581,33.75879722
SC27M_SC31F_winter_2015_2016,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,winter,winter,0,0,1,0.697761194,1,female_male,0,0,1,0,0,1,0,1,0,0,0.347434197,2.363450287,-81.7181392,33.76152029
SC27M_SC31F_winter_2016_2017,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,winter,winter,0,0,1,0.5,1,female_male,0,0,1,0,0,1,0,1,0,0,0.326210411,2.678759615,-81.7196271,33.76252491
SC53M_SC54M_den_2016,SC53M_SC54M,Saluda,coyote,SouthCarolina_Johnston,den,nw,1,0,0,0.334615385,0,male_male,0,1,0,1,0,1,0,1,0,0,0.394919151,2.463886306,-81.71894049,33.86759492
SC53M_SC54M_rend_2016,SC53M_SC54M,Saluda,coyote,SouthCarolina_Johnston,rend,nw,0,1,0,0.207772795,0,male_male,0,1,0,1,0,1,0,1,0,0,0.40121205,2.335546899,-81.71915829,33.86553452
